K,N,epsilon,realization,channel_seed,faa_energy_W,fpa_energy_W,faa_energy_dBm,fpa_energy_dBm,faa_energy_saving_pct,faa_iterations,fpa_iterations,faa_converged,fpa_converged,faa_monotone,fpa_monotone,faa_wins,fpa_wins,tie,same_physical_channel
4,4,0.08,1,20664821,0.0002624402792255025,0.00036960578425314925,-5.809695088432916,-4.3226124078102215,28.994542183421917,7,12,1,1,1,1,1,0,0,1
4,4,0.08,2,20664822,0.0010604325415062706,0.0013947340556125858,0.25483046465582704,1.444914053223771,23.968835690291186,6,18,1,1,1,1,1,0,0,1
4,4,0.08,3,20664823,0.0004808176528923243,0.0008030643902629125,-3.1801959588678903,-0.9524963129075708,40.12713566655457,10,25,1,0,1,1,1,0,0,1
4,4,0.08,4,20664824,0.0005865839189573999,0.0019144947177325755,-2.31669847260333,2.8205417242684607,69.3609016768603,13,17,1,1,1,1,1,0,0,1
4,4,0.08,5,20664825,0.0004460264307475865,0.0010549389775620505,-3.506394049925263,0.23227338804755718,57.7201676841681,7,19,1,1,1,1,1,0,0,1
4,4,0.08,6,20664826,0.00018354215053803736,0.0004147106650213304,-7.362641840333822,-3.822547958384038,55.7421195018949,5,16,1,1,1,1,1,0,0,1
4,4,0.08,7,20664827,0.00022138065914240943,0.0003936938450919066,-6.548603238124527,-4.04841374804681,43.76832101839722,7,15,1,1,1,1,1,0,0,1
4,4,0.08,8,20664828,0.00025403069720188615,0.0004527412155263869,-5.951137998373206,-3.441499674864115,43.89052984572361,8,19,1,1,1,1,1,0,0,1
4,4,0.08,9,20664829,0.0003316905571498285,0.0007901864028387022,-4.792668921708929,-1.022704477283863,58.023757943917026,8,25,1,0,1,1,1,0,0,1
4,4,0.08,10,20664830,0.0005104486102670317,0.0007132683224493732,-2.9204797424478923,-1.4674706336320607,28.435261429507452,6,20,1,1,1,1,1,0,0,1
4,4,0.08,11,20664831,0.0005237008867037653,0.0013482832934907428,-2.809166907725138,1.297811532329902,61.15794883522667,9,24,1,1,1,1,1,0,0,1
4,4,0.08,12,20664832,0.0002337148567317127,0.0004463505265730731,-6.313136795995501,-3.503239485396214,47.63871826788342,5,25,1,0,1,1,1,0,0,1
