epsilon,K,N,realization,channel_seed,faa_energy_W,fpa_energy_W,faa_energy_dBm,fpa_energy_dBm,faa_energy_saving_pct,faa_iterations,fpa_iterations,faa_converged,fpa_converged,faa_monotone,fpa_monotone,faa_wins,fpa_wins,tie,same_physical_channel,same_g_phi
0.04,4,4,1,20664822,0.0036726899748777153,0.005332306820777003,5.649842695153131,7.269151307524546,31.123806293979438,12,25,1,0,1,1,1,0,0,1,1
0.06,4,4,1,20664822,0.0018174058889319205,0.002614441658034492,2.594519309611862,4.1737895487617775,30.485888512875594,11,25,1,0,1,1,1,0,0,1,1
0.08,4,4,1,20664822,0.0009986440706071346,0.0013947340556125858,-0.005892722492983177,1.444914053223771,28.398961322521316,9,18,1,1,1,1,1,0,0,1,1
0.04,4,4,2,20664823,0.0012706526608782839,0.0025073740286168816,1.0402685025544156,3.992191231278157,49.323369932997124,13,25,1,0,1,1,1,0,0,1,1
0.06,4,4,2,20664823,0.0006961051173510939,0.001336280172107715,-1.5732517355256739,1.2589752433990489,47.90724790497137,10,25,1,0,1,1,1,0,0,1,1
0.08,4,4,2,20664823,0.00045317922661741077,0.0008030643902629125,-3.4373000607298536,-0.9524963129075708,43.56875586663157,7,25,1,0,1,1,1,0,0,1,1
0.04,4,4,3,20664824,0.00254328283491727,0.008455950118249515,4.05394660141705,9.271624123986037,69.92315707458596,14,25,1,0,1,1,1,0,0,1,1
0.06,4,4,3,20664824,0.00121882101129583,0.0040080071400282165,0.8593993243214426,6.029284865298711,69.59034830244217,12,25,1,0,1,1,1,0,0,1,1
0.08,4,4,3,20664824,0.0006267286039644487,0.0019144947177325755,-2.029204835983645,2.8205417242684607,67.26402020546121,8,17,1,1,1,1,1,0,0,1,1
0.04,4,4,4,20664825,0.0012328557793421797,0.002838591275667456,0.9091227537980981,4.5310286364206425,56.568041693417435,7,25,1,0,1,1,1,0,0,1,1
0.06,4,4,4,20664825,0.0007501392363117343,0.0016449170103179458,-1.2485811800893702,2.1614399172662906,54.39652994002779,10,23,1,1,1,1,1,0,0,1,1
0.08,4,4,4,20664825,0.000438534342617695,0.0010549389775620505,-3.5799639038154947,0.23227338804755718,58.43035929612328,6,19,1,1,1,1,1,0,0,1,1
0.04,4,4,5,20664826,0.00045527332605616836,0.00113165194448663,-3.4172779376377784,0.5371287399717526,59.76913853466655,15,20,1,1,1,1,1,0,0,1,1
0.06,4,4,5,20664826,0.0002766500653556741,0.0006503541608150541,-5.580692228523039,-1.8685007689529516,57.461629059316955,7,18,1,1,1,1,1,0,0,1,1
0.08,4,4,5,20664826,0.00019661893211158949,0.0004147106650213304,-7.063746669935341,-3.822547958384038,52.58888938834585,5,16,1,1,1,1,1,0,0,1,1
0.04,4,4,6,20664827,0.0005715262817428221,0.0009818246655230677,-2.4296379369662486,-0.07966061698356491,41.7893742322779,9,23,1,1,1,1,1,0,0,1,1
0.06,4,4,6,20664827,0.0003226510204339144,0.0005895078247217404,-4.912669570310004,-2.2951042600414007,45.26772895911734,6,17,1,1,1,1,1,0,0,1,1
0.08,4,4,6,20664827,0.0002246199436895736,0.0003936938450919066,-6.485516859650289,-4.04841374804681,42.94552823472849,5,15,1,1,1,1,1,0,0,1,1
0.04,4,4,7,20664828,0.0006826195314561251,0.0011909160688326696,-1.6582128962569804,0.7588115516266126,42.68113855200345,9,25,1,0,1,1,1,0,0,1,1
0.06,4,4,7,20664828,0.00042581455401567584,0.0006978655630738699,-3.707794987908914,-1.562282318732423,38.983297565206996,7,23,1,1,1,1,1,0,0,1,1
0.08,4,4,7,20664828,0.0003109427282855185,0.0004527412155263869,-5.073195951534015,-3.441499674864115,31.3199864244752,5,19,1,1,1,1,1,0,0,1,1
0.04,4,4,8,20664829,0.001209926885503143,0.004347981712223119,0.8275912719089784,6.382877087589468,72.17267767935232,12,25,1,0,1,1,1,0,0,1,1
0.06,4,4,8,20664829,0.0006423560540659457,0.0015542477679647338,-1.9222417839173653,1.9152025235591121,58.67093604341461,9,25,1,0,1,1,1,0,0,1,1
0.08,4,4,8,20664829,0.0003578145624611007,0.0007901864028387022,-4.463419883415888,-1.022704477283863,54.71770190227633,10,25,1,0,1,1,1,0,0,1,1
0.04,4,4,9,20664830,0.0013898850918544765,0.0019044806881312454,1.4297889663081134,2.797765731741462,27.020258041141453,9,25,1,0,1,1,1,0,0,1,1
0.06,4,4,9,20664830,0.0007180675120910243,0.001107595258870076,-1.4383472184373902,0.44381088053158724,35.16878062266466,9,22,1,1,1,1,1,0,0,1,1
0.08,4,4,9,20664830,0.0004957955591048342,0.0007132683224493732,-3.0469736757405212,-1.4674706336320607,30.489614707370507,9,20,1,1,1,1,1,0,0,1,1
0.04,4,4,10,20664831,0.001613027016792006,0.0044620957644714776,2.076416415026786,6.495388867759733,63.85046171273591,14,25,1,0,1,1,1,0,0,1,1
0.06,4,4,10,20664831,0.0008615303426074968,0.002292534924957576,-0.6472942234253953,3.6031596052562307,62.42018678849834,12,25,1,0,1,1,1,0,0,1,1
0.08,4,4,10,20664831,0.0005205434753039225,0.0013482832934907428,-2.835429927699573,1.297811532329902,61.392128952646075,8,24,1,1,1,1,1,0,0,1,1
0.04,4,4,11,20664832,0.0006278738939507585,0.001209124508555613,-2.021275738756041,0.8247102426397876,48.07202322771544,10,25,1,0,1,1,1,0,0,1,1
0.06,4,4,11,20664832,0.00036209540713402744,0.000695934733938147,-4.41176983796626,-1.5743148742907274,47.96991880474102,10,25,1,0,1,1,1,0,0,1,1
0.08,4,4,11,20664832,0.00022588912981979308,0.0004463505265730731,-6.4610466758723915,-3.503239485396214,49.39198760353378,5,25,1,0,1,1,1,0,0,1,1
0.04,4,4,12,20664833,0.001665411887253687,0.0022381201602883643,2.2152166020834647,3.498833992384892,25.588808107643704,14,25,1,0,1,1,1,0,0,1,1
0.06,4,4,12,20664833,0.000731865385491149,0.0011148319987965684,-1.3556879286870873,0.4720942568652615,34.35195739975366,18,21,1,1,1,1,1,0,0,1,1
0.08,4,4,12,20664833,0.0005125653147688337,0.0006072471448096847,-2.9025078581108747,-2.166345185093511,15.591976158327588,6,17,1,1,1,1,1,0,0,1,1
0.04,4,4,13,20664834,0.0006956672876116388,0.0013475434152509856,-1.575984180075559,1.295427662151357,48.37514845619517,8,25,1,0,1,1,1,0,0,1,1
0.06,4,4,13,20664834,0.00046293744920691826,0.0007950939040132428,-3.344776856547285,-0.9958157626627117,41.77575166024569,10,19,1,1,1,1,1,0,0,1,1
0.08,4,4,13,20664834,0.00028811078579734023,0.0005202709895617152,-5.404404830434783,-2.837703897959139,44.62293851132282,5,15,1,1,1,1,1,0,0,1,1
0.04,4,4,14,20664835,0.0013724000475845391,0.002952567119151574,1.3748072444221093,4.701997789852429,53.51841322479737,9,25,1,0,1,1,1,0,0,1,1
0.06,4,4,14,20664835,0.0007659992655812938,0.0017171662524543866,-1.157716467566185,2.348123446822801,55.39166551366632,12,25,1,0,1,1,1,0,0,1,1
0.08,4,4,14,20664835,0.000539159809198433,0.0011052732043160566,-2.6828248905042917,0.43469641334649434,51.219317803685904,5,25,1,0,1,1,1,0,0,1,1
0.04,4,4,15,20664836,0.0015448164974074465,0.0021355003701691603,1.8887689871460784,3.2949965104376524,27.66020933608753,13,25,1,0,1,1,1,0,0,1,1
0.06,4,4,15,20664836,0.0009555953561057038,0.0012283052843539825,-0.19725969452264297,0.8930632025203776,22.202129366536784,10,25,1,0,1,1,1,0,0,1,1
0.08,4,4,15,20664836,0.0005695487668235656,0.0007840598359335142,-2.4446908412986694,-1.056507926419186,27.3590176768267,9,24,1,1,1,1,1,0,0,1,1
0.04,4,4,16,20664837,0.001316684884299198,0.002284610948160502,1.1948184984037815,3.5881225366065532,42.3672163805679,17,25,1,0,1,1,1,0,0,1,1
0.06,4,4,16,20664837,0.000723112036835289,0.0012475985191797506,-1.4079440919266535,0.9607485060542941,42.039684584532196,12,25,1,0,1,1,1,0,0,1,1
0.08,4,4,16,20664837,0.0004447222745054105,0.000742572355045166,-3.5191111779072592,-1.2926122299946208,40.110580270880014,9,25,1,0,1,1,1,0,0,1,1
0.04,4,4,17,20664838,0.0005425064237808786,0.0009703889676705827,-2.6559511499819517,-0.13054149597196857,44.09392090646245,7,21,1,1,1,1,1,0,0,1,1
0.06,4,4,17,20664838,0.0003202926500530639,0.0005763638379935938,-4.944530272369625,-2.393032753467781,44.428739462897404,6,16,1,1,1,1,1,0,0,1,1
0.08,4,4,17,20664838,0.00022825341944640793,0.000379878198856259,-6.415827076136749,-4.203556298148702,39.914051363401335,4,13,1,1,1,1,1,0,0,1,1
0.04,4,4,18,20664839,0.0005662542033962158,0.0011919877023603056,-2.4698856112921113,0.7627177484665898,52.494962634685606,7,16,1,1,1,1,1,0,0,1,1
0.06,4,4,18,20664839,0.0003035781502288273,0.0007145188175227012,-5.177294896162564,-1.4598632917020051,57.51292439275999,6,12,1,1,1,1,1,0,0,1,1
0.08,4,4,18,20664839,0.00021552910624165355,0.00047604994831351564,-6.664940720156997,-3.2234747765997467,54.72552680549584,4,11,1,1,1,1,1,0,0,1,1
0.04,4,4,19,20664840,0.0017664289420912507,0.0022857444876073192,2.470961718142502,3.5902768107928185,22.719754912749664,21,25,1,0,1,1,1,0,0,1,1
0.06,4,4,19,20664840,0.0010330427088712495,0.0012665798856422847,0.1411827683780928,1.026325867830998,18.43840877455653,12,22,1,1,1,1,1,0,0,1,1
0.08,4,4,19,20664840,0.0005684579667163361,0.0007668177818667906,-2.453016426702478,-1.153078247492639,25.86792062483927,14,19,1,1,1,1,1,0,0,1,1
0.04,4,4,20,20664841,0.0009343270512252979,0.0019721565160586135,-0.295010770029295,2.949413788421115,52.62409227577101,9,17,1,1,1,1,1,0,0,1,1
0.06,4,4,20,20664841,0.0005504685774933628,0.0011368260482053504,-2.592674669024548,0.5569401606494716,51.5784689871982,5,25,1,0,1,1,1,0,0,1,1
0.08,4,4,20,20664841,0.0003741441726239649,0.000646812797029695,-4.269610146183211,-1.8922139627274484,42.15572506571975,6,25,1,0,1,1,1,0,0,1,1
0.04,4,4,21,20664842,0.0005585918245926249,0.0011021288760485455,-2.5290542481169216,0.4223238116205067,49.317013941659894,14,25,1,0,1,1,1,0,0,1,1
0.06,4,4,21,20664842,0.0003464932101069986,0.0006571419693615773,-4.603052714185686,-1.823407950525523,47.27270114194325,4,21,1,1,1,1,1,0,0,1,1
0.08,4,4,21,20664842,0.00021937653979959562,0.00043611896809135647,-6.588098178750204,-3.6039502417669027,49.69800539525227,5,17,1,1,1,1,1,0,0,1,1
0.04,4,4,22,20664843,0.0017910607494992126,0.002817224899805219,2.531103165720058,4.49821518212491,36.42464435043701,21,25,1,0,1,1,1,0,0,1,1
0.06,4,4,22,20664843,0.0010823384621015814,0.001622504197115722,0.34363091858730543,2.101858289126783,33.2921009372042,13,25,1,0,1,1,1,0,0,1,1
0.08,4,4,22,20664843,0.0006881830450375047,0.0010431899879688286,-1.6229603142063866,0.18363410260203017,34.03090012611699,15,25,1,0,1,1,1,0,0,1,1
0.04,4,4,23,20664844,0.0010643272833959242,0.0017703971399239864,0.2707519517408857,2.4807069931717156,39.88200390779991,12,25,1,0,1,1,1,0,0,1,1
0.06,4,4,23,20664844,0.0006508072230866426,0.0010235009910727051,-1.8654763562260477,0.10088267533159148,36.41362062536469,11,21,1,1,1,1,1,0,0,1,1
0.08,4,4,23,20664844,0.0004094312838660614,0.0006521618858534735,-3.878189767899422,-1.856445861605496,37.21937869303027,8,17,1,1,1,1,1,0,0,1,1
0.04,4,4,24,20664845,0.0009869588460739945,0.003510651239890616,-0.05700956039175476,5.453876873080542,71.8867304487715,12,25,1,0,1,1,1,0,0,1,1
0.06,4,4,24,20664845,0.0005380708926160277,0.0006256664514150247,-2.691605008324376,-2.0365713151112868,14.000360511721286,12,24,1,1,1,1,1,0,0,1,1
0.08,4,4,24,20664845,0.00030860257822642415,0.0003336822130566924,-5.106004499357617,-4.766669428124215,7.516023884080154,9,16,1,1,1,1,1,0,0,1,1
0.04,4,4,25,20664846,0.002724556960686123,0.0035822940665850424,4.352958918705474,5.541612337333378,23.943793835903307,13,25,1,0,1,1,1,0,0,1,1
0.06,4,4,25,20664846,0.001370126942378291,0.0018786821156182363,1.3676080644138167,2.738533010626694,27.06978306825421,16,25,1,0,1,1,1,0,0,1,1
0.08,4,4,25,20664846,0.0008340303259707369,0.0011923739342975834,-0.7881815780074615,0.7641247363830437,30.052955538477402,10,25,1,0,1,1,1,0,0,1,1
0.04,4,4,26,20664847,0.000636713132794653,0.0014290118181061562,-1.9605619232018618,1.5503582047541162,55.443816158324175,9,19,1,1,1,1,1,0,0,1,1
0.06,4,4,26,20664847,0.0003749543811381432,0.0008209279126302416,-4.260215675393263,-0.8569497749862656,54.32554121143298,8,15,1,1,1,1,1,0,0,1,1
0.08,4,4,26,20664847,0.0002521322884392542,0.0005219052544683469,-5.983715343589543,-2.8240833070705924,51.69002682372001,4,13,1,1,1,1,1,0,0,1,1
0.04,4,4,27,20664848,0.0010611473587014105,0.0034105191515370666,0.2577569740475826,5.328204926249781,68.88604603720907,15,25,1,0,1,1,1,0,0,1,1
0.06,4,4,27,20664848,0.0006210265599496665,0.0012082204128270138,-2.06889825599722,0.8214616884026381,48.599895072408316,9,25,1,0,1,1,1,0,0,1,1
0.08,4,4,27,20664848,0.0003563160863002877,0.0006454149575318156,-4.4816457048157785,-1.9016097401383438,44.79271325491041,7,25,1,0,1,1,1,0,0,1,1
0.04,4,4,28,20664849,0.0010100653981460145,0.0027341372524620497,0.043494937177464874,4.368203121669621,63.057253353449404,11,25,1,0,1,1,1,0,0,1,1
0.06,4,4,28,20664849,0.0006486939156875337,0.0015774156568372846,-1.8796017544070303,1.9794614715584324,58.876158425600785,8,23,1,1,1,1,1,0,0,1,1
0.08,4,4,28,20664849,0.00038494028202188725,0.0010038287920574804,-4.146066398421421,0.01659648062874169,61.652795270705376,5,18,1,1,1,1,1,0,0,1,1
0.04,4,4,29,20664850,0.0008175193878301467,0.002286975429524243,-0.8750193906179777,3.592614987215887,64.25325006660809,20,23,1,1,1,1,1,0,0,1,1
0.06,4,4,29,20664850,0.0004599644411740319,0.0013215960698716338,-3.3727574135933365,1.2109873848447856,65.1962916915523,11,17,1,1,1,1,1,0,0,1,1
0.08,4,4,29,20664850,0.0003115088821066502,0.0008431526061736518,-5.0652956571456675,-0.7409381325075647,63.05427038643425,7,14,1,1,1,1,1,0,0,1,1
0.04,4,4,30,20664851,0.0009530024176058385,0.0018481756412763997,-0.2090599762867958,2.66743241999015,48.435506002683304,7,25,1,0,1,1,1,0,0,1,1
